region,region_short,emde,emde_label,inflow_capex_2016_2020,inflow_capex_2021_2025,outflow_capex_2016_2020,outflow_capex_2021_2025,outflow_log_growth,inflow_log_growth,n_projects_total_stock,top3_outflow_2016_2020,top3_outflow_2021_2025,top3_inflow_2016_2020,top3_inflow_2021_2025,hover_group
East Asia & Pacific,EAP,0.0,AE,79365.73908394098,166560.66060175418,116036.13182829655,356207.11137272057,1.1216107113217415,0.7412927935598397,2099.0,"Korea, Rep., Japan, Singapore","Korea, Rep., Japan, Australia","Australia, Japan, Korea, Rep.","Australia, Korea, Rep., Japan",East Asia & Pacific (AE)
East Asia & Pacific,EAP,1.0,EMDE,103646.03842650376,193561.14439118005,73782.93617869011,226856.29780189847,1.1231892799095125,0.6246118367694411,2249.0,"China, Thailand, Taiwan, China","China, Taiwan, China, Malaysia","China, Indonesia, Vietnam","Indonesia, China, Vietnam",East Asia & Pacific (EMDE)
Europe & Central Asia,ECA,0.0,AE,155701.68373263613,494365.54544601636,342681.6191291832,949476.5730152981,1.0191090649922891,1.1553333213477313,9952.0,"Germany, France, Spain","Germany, France, United Kingdom","United Kingdom, Germany, France","United Kingdom, Spain, Germany",Europe & Central Asia (AE)
Europe & Central Asia,ECA,1.0,EMDE,43782.67330409135,132603.1887434336,3712.1685201659875,25731.179920158083,1.9360872703568806,1.1081229728487099,1306.0,"Türkiye, Russian Federation, Ukraine","Poland, Türkiye, Russian Federation","Hungary, Poland, Türkiye","Hungary, Poland, Uzbekistan",Europe & Central Asia (EMDE)
Latin America & Caribbean,LAC,1.0,EMDE,85378.45740131004,167857.91211280585,3510.1400270366685,13029.51012226343,1.3115608638628373,0.6760240465933052,1172.0,"Brazil, Chile, Colombia","Chile, Cayman Islands, Brazil","Brazil, Mexico, Chile","Brazil, Chile, Mexico",Latin America & Caribbean (EMDE)
"Middle East, North Africa, Afghanistan & Pakistan",MENAAP,1.0,EMDE,60073.856976428826,312419.3033022166,23319.306001502042,166584.64995499852,1.9662219871219069,1.6487714515646559,910.0,"United Arab Emirates, Saudi Arabia, Kuwait","United Arab Emirates, Saudi Arabia, Jordan","United Arab Emirates, Egypt, Arab Rep., Pakistan","Egypt, Arab Rep., Morocco, United Arab Emirates","Middle East, North Africa, Afghanistan & Pakistan (EMDE)"
North America,NAR,0.0,AE,82431.56685569398,391654.82657024753,102670.26704988648,235145.1126399421,0.8286802618063156,1.558412450956821,3276.0,"United States, Canada","United States, Canada","United States, Canada","United States, Canada",North America (AE)
South Asia,SAR,1.0,EMDE,34307.64002369406,90836.50977110391,10570.297076011162,59790.07399322033,1.732791755373734,0.9736932241965395,512.0,India,India,"India, Bangladesh, Sri Lanka","India, Bhutan, Bangladesh",South Asia (EMDE)
Sub-Saharan Africa,SSA,1.0,EMDE,34273.35803196003,106860.57973323586,1690.9300329971336,7293.000056946281,1.4616362988605216,1.1371566730850518,556.0,"Mauritius, South Africa, Nigeria","South Africa, Kenya, Mauritius","South Africa, Zimbabwe, Nigeria","Mauritania, South Africa, Zimbabwe",Sub-Saharan Africa (EMDE)
