year,ecode_dest,economy_dest,region_dest,ecode_source,economy_source,value,share,rank,value_million
2003,BEL,Belgium,Europe & Central Asia,NLD,Netherlands,46.2715,0.2117668350001722,2,46271.5
2003,BEL,Belgium,Europe & Central Asia,DEU,Germany,32.066293,0.14675507339935331,3,32066.293
2003,BEL,Belgium,Europe & Central Asia,USA,United States,27.415,0.12546789668650726,4,27415.0
2003,BEL,Belgium,Europe & Central Asia,GBR,United Kingdom,15.459078,0.070750246265645,5,15459.078
2003,BEL,Belgium,,OTH,Others,47.50658769876,0.2174193557292182,6,47506.58769876
2003,BEN,Benin,Sub-Saharan Africa,CHN,China,0.00771,1.0,1,7.71
2003,BGD,Bangladesh,South Asia,USA,United States,0.189,0.41439829916203863,1,189.0
2003,BGD,Bangladesh,South Asia,NLD,Netherlands,0.11051245,0.2423077847419568,2,110.51245
2003,BGD,Bangladesh,South Asia,KOR,"Korea, Rep.",0.09725166,0.21323239415177178,3,97.25166
2003,BGD,Bangladesh,South Asia,CHE,Switzerland,0.028134853,0.06168801709192582,4,28.134853
2003,BGD,Bangladesh,South Asia,DEU,Germany,0.02273399,0.04984617348765499,5,22.73399
2003,BGD,Bangladesh,,OTH,Others,0.00845,0.01852733136465199,6,8.45
2003,BGR,Bulgaria,Europe & Central Asia,AUT,Austria,1.3274123999999998,0.3889397847262605,1,1327.4124
2003,BGR,Bulgaria,Europe & Central Asia,GRC,Greece,0.62334076,0.18264257664423178,2,623.34076
2003,BGR,Bulgaria,Europe & Central Asia,NLD,Netherlands,0.35490283,0.10398865514510837,3,354.90283
2003,BGR,Bulgaria,Europe & Central Asia,DEU,Germany,0.2374439,0.06957248504727223,4,237.4439
2003,BGR,Bulgaria,Europe & Central Asia,USA,United States,0.186,0.05449911418567768,5,186.0
2003,BGR,Bulgaria,,OTH,Others,0.6837996181699996,0.2003573842514495,6,683.7996181699996
2003,BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",NLD,Netherlands,0.14436084,0.31505114981477567,1,144.36084
2003,BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",USA,United States,0.144,0.314263657466441,2,144.0
2003,BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",NZL,New Zealand,0.10855011,0.23689829574294788,3,108.55011
2003,BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",BRA,Brazil,0.0301269999999999,0.06574875839230165,4,30.1269999999999
2003,BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",DEU,Germany,0.016418993,0.03583258883399926,5,16.418993
2003,BHR,Bahrain,,OTH,Others,0.014757033000000001,0.03220554974953449,6,14.757033000000002
2003,BHS,"Bahamas, The",Latin America & Caribbean,USA,United States,8.643,0.5339207854924463,1,8643.0
2003,BHS,"Bahamas, The",Latin America & Caribbean,BRA,Brazil,6.924858,0.4277826706911547,2,6924.858
2003,BHS,"Bahamas, The",Latin America & Caribbean,PRT,Portugal,0.44244763,0.02733217472508055,3,442.44763
2003,BHS,"Bahamas, The",Latin America & Caribbean,DEU,Germany,0.07199097,0.004447237677977917,4,71.99097
2003,BHS,"Bahamas, The",Latin America & Caribbean,NLD,Netherlands,0.051277775,0.003167681349798093,5,51.277775
2003,BHS,"Bahamas, The",,OTH,Others,0.0542202096,0.0033494500635424126,6,54.2202096
2003,BIH,Bosnia and Herzegovina,Europe & Central Asia,SVN,Slovenia,0.23557887,0.28224747744622974,1,235.57887
