region_shortdestination,regiondestination,emde_destination,2016-2020,2021-2025,growth_rate,capex_total,share,n_projects,avg_size,top3_economysource,emde_label,group,hover_group
EAP,East Asia & Pacific,0.0,79365.73908394098,166560.66060175418,109.86468786687882,245.92639968569515,8.98396840937993,793,310.1215632858703,"Singapore, Korea, Rep., Canada",AE,EAP-AE,East Asia & Pacific (AE)
EAP,East Asia & Pacific,1.0,103646.03842650376,193561.14439118005,86.75209137726554,297.2071828176838,10.857313183486532,970,306.3991575440039,"China, United States, Germany",EMDE,EAP-EMDE,East Asia & Pacific (EMDE)
ECA,Europe & Central Asia,0.0,155701.68373263613,494365.54544601636,217.5081563632404,650.0672291786525,23.747688163524412,3873,167.84591509905823,"Germany, France, Spain",AE,ECA-AE,Europe & Central Asia (AE)
ECA,Europe & Central Asia,1.0,43782.67330409135,132603.1887434336,202.86681633723413,176.38586204752494,6.443574234085713,1132,155.8178993352694,"China, Germany, Korea, Rep.",EMDE,ECA-EMDE,Europe & Central Asia (EMDE)
LAC,Latin America & Caribbean,1.0,85378.45740131002,167857.91211280585,96.60452674122722,253.23636951411586,9.251009841678309,1108,228.55268006689155,"United States, Spain, China",EMDE,LAC-EMDE,Latin America & Caribbean (EMDE)
MENAAP,"Middle East, North Africa, Afghanistan & Pakistan",1.0,60073.856976428826,312419.3033022166,420.0586728180288,372.4931602786454,13.60759474757642,589,632.4162313729124,"United Arab Emirates, China, India",EMDE,MENAAP-EMDE,"Middle East, North Africa, Afghanistan & Pakistan (EMDE)"
NAR,North America,0.0,82431.56685569398,391654.82657024753,375.1272376708364,474.08639342594154,17.31890999623847,1732,273.72193615816485,"Korea, Rep., Japan, Canada",AE,NAR-AE,North America (AE)
SAR,South Asia,1.0,34307.64002369406,90836.50977110393,164.77049924847364,125.144149794798,4.571656763210735,379,330.19564589656466,"Japan, United States, United Arab Emirates",EMDE,SAR-EMDE,South Asia (EMDE)
SSA,Sub-Saharan Africa,1.0,34273.35803196003,106860.57973323588,211.78905677578487,141.1339377651959,5.1557817297955815,492,286.8575970837315,"United Arab Emirates, United Kingdom, Germany",EMDE,SSA-EMDE,Sub-Saharan Africa (EMDE)
