year,ecode_dest,economy_dest,ecode_source,economy_source,value,share,rank
2000,BLR,Belarus,UKR,Ukraine,0.19701,0.026364990147745373,5
2000,BLZ,Belize,USA,United States,74.0,1.0,1
2000,BMU,Bermuda,USA,United States,9363.0,0.7088890949571387,1
2000,BMU,Bermuda,HKG,"Hong Kong SAR, China",1899.586327,0.14382100097618128,2
2000,BMU,Bermuda,KOR,"Korea, Rep.",1377.387923,0.10428444709391894,3
2000,BMU,Bermuda,JPN,Japan,559.1425788,0.04233366192860543,4
2000,BMU,Bermuda,SWE,Sweden,4.051520152,0.0003067476720871397,5
2000,BMU,Bermuda,OTH,Others,4.821542,0.00036504737206854987,6
2000,BOL,Bolivia,NZL,New Zealand,37.70756196,0.5397716188367601,1
2000,BOL,Bolivia,USA,United States,16.0,0.22903485275843488,2
2000,BOL,Bolivia,KOR,"Korea, Rep.",10.2,0.14600971863350223,3
2000,BOL,Bolivia,DEU,Germany,5.950801548,0.08518380977130291,4
2000,BRA,Brazil,ESP,Spain,11592.96112,0.5020184009172218,1
2000,BRA,Brazil,USA,United States,3350.0,0.14506747893524316,2
2000,BRA,Brazil,PRT,Portugal,2695.09766,0.11670776806581289,3
2000,BRA,Brazil,FRA,France,1777.224986,0.07696046215514711,4
2000,BRA,Brazil,DEU,Germany,1062.751981,0.04602111958719565,5
2000,BRA,Brazil,OTH,Others,2614.6658329,0.11322477033937935,6
2000,BRB,Barbados,DEU,Germany,43.27713285,0.9931156553820866,1
2000,BRB,Barbados,COL,Colombia,0.3,0.006884344617913521,2
2000,BRN,Brunei Darussalam,DEU,Germany,8.026533997,0.9769697651295869,1
2000,BRN,Brunei Darussalam,MYS,Malaysia,0.189210526,0.023030234870413096,2
2000,BTN,Bhutan,USA,United States,1.0,1.0,1
2000,BWA,Botswana,USA,United States,5.0,0.8454341541238258,1
2000,BWA,Botswana,DEU,Germany,0.708494564,0.11979710048333375,2
2000,BWA,Botswana,SWE,Sweden,0.205626572,0.034768745392840396,3
2000,CAF,Central African Republic,DEU,Germany,1.560714944,1.0,1
2000,CAN,Canada,FRA,France,29319.14502,0.5527605834280729,1
2000,CAN,Canada,USA,United States,16899.0,0.31860073317209586,2
2000,CAN,Canada,GBR,United Kingdom,3882.402248,0.07319582239669763,3
2000,CAN,Canada,NLD,Netherlands,1057.029666,0.019928423372522375,4
2000,CAN,Canada,FIN,Finland,410.4754008,0.0077387871261015385,5
2000,CAN,Canada,OTH,Others,1473.256866682,0.027775650504509728,6
2000,CHE,Switzerland,USA,United States,8687.0,0.48425411350148023,1
2000,CHE,Switzerland,FIN,Finland,2752.77225,0.15345243301430012,2
2000,CHE,Switzerland,ESP,Spain,1803.021927,0.10050889661368892,3
2000,CHE,Switzerland,DNK,Denmark,1407.373867,0.07845361854831762,4
2000,CHE,Switzerland,FRA,France,961.8573798,0.05361844051685341,5
2000,CHE,Switzerland,OTH,Others,2326.903245669,0.1297124978053596,6
2000,CHL,Chile,ESP,Spain,789.5706652,0.4880807392957927,1
2000,CHL,Chile,GBR,United Kingdom,446.3400869,0.27590943938668044,2
2000,CHL,Chile,USA,United States,197.0,0.12177745435478618,3
2000,CHL,Chile,DEU,Germany,130.4311774,0.08062729315872852,4
2000,CHL,Chile,JPN,Japan,28.8126943,0.017810845507394205,5
2000,CHL,Chile,OTH,Others,25.550402502,0.015794228296617866,6
2000,CHN,China,HKG,"Hong Kong SAR, China",43035.89833,0.8871853910236587,1
2000,CHN,China,USA,United States,1817.0,0.03745746964845541,2
2000,CHN,China,JPN,Japan,937.2245163,0.019320890959326115,3
2000,CHN,China,DEU,Germany,841.5220195,0.017347983216251046,4
2000,CHN,China,GBR,United Kingdom,620.33707,0.012788253699139657,5
2000,CHN,China,OTH,Others,1256.366787508,0.02590001145316914,6
2000,CMR,Cameroon,FRA,France,93.05325226,1.0,1
2000,COD,"Congo, Dem. Rep.",SWE,Sweden,11.75596797,0.6874617414561777,1
2000,COD,"Congo, Dem. Rep.",DEU,Germany,5.344573429,0.3125382585438224,2
2000,COG,"Congo, Rep.",FRA,France,241.3856643,0.9860633865661278,1
2000,COG,"Congo, Rep.",DEU,Germany,3.411645476,0.013936613433872298,2
2000,COK,Cook Islands,NZL,New Zealand,0.454307975,1.0,1
2000,COL,Colombia,ESP,Spain,575.8245808,0.5032558533249549,1
2000,COL,Colombia,USA,United States,341.0,0.2980252175851706,2
2000,COL,Colombia,DEU,Germany,96.27879123,0.08414518388609372,3
2000,COL,Colombia,GBR,United Kingdom,87.75500014,0.07669561000266914,4
2000,COL,Colombia,CHL,Chile,20.0,0.017479484902356044,5
2000,COL,Colombia,OTH,Others,23.3401046,0.020398650298755545,6
2000,CPV,Cabo Verde,PRT,Portugal,8.96996499,0.9747697236664872,1
2000,CPV,Cabo Verde,DEU,Germany,0.232172471,0.025230276333512814,2
2000,CRI,Costa Rica,USA,United States,431.0,0.9821020830711877,1
2000,CRI,Costa Rica,DEU,Germany,6.53860328,0.01489924803170325,2
2000,CRI,Costa Rica,CHL,Chile,0.8,0.0018229273003641537,3
2000,CRI,Costa Rica,COL,Colombia,0.369618,0.0008422334286324972,4
2000,CRI,Costa Rica,SWE,Sweden,0.146361588,0.00033350816811231307,5
2000,CUB,Cuba,DEU,Germany,0.121614151,1.0,1
2000,CUW,Curacao,CHL,Chile,0.7,1.0,1
2000,CYM,Cayman Islands,DEU,Germany,5308.804128,0.5133164863681621,1
2000,CYM,Cayman Islands,JPN,Japan,3658.887394,0.3537834841558579,2
2000,CYM,Cayman Islands,CHL,Chile,1292.8,0.1250028325732872,3
2000,CYM,Cayman Islands,FRA,France,23.03298323,0.002227094791431793,4
2000,CYM,Cayman Islands,SWE,Sweden,21.11754331,0.002041887941475148,5
2000,CYM,Cayman Islands,OTH,Others,37.523591923,0.00362821416978583,6
2000,CYP,Cyprus,GBR,United Kingdom,63.54672424,0.3126947677286473,1
2000,CYP,Cyprus,HUN,Hungary,38.30864198,0.1885055767893663,2
2000,CYP,Cyprus,DEU,Germany,31.30735213,0.1540542855602799,3
2000,CYP,Cyprus,NLD,Netherlands,27.63957988,0.1360062554609816,4
2000,CYP,Cyprus,PRT,Portugal,11.83618942,0.058242412110827195,5
2000,CYP,Cyprus,OTH,Others,30.584369904,0.1504967023498977,6
2000,CZE,Czechia,DEU,Germany,1094.401142,0.35974896962248265,1
2000,CZE,Czechia,AUT,Austria,934.2177999,0.3070938781211613,2
2000,CZE,Czechia,NLD,Netherlands,483.6926479,0.15899830968560458,3
2000,CZE,Czechia,USA,United States,125.0,0.04108970602920874,4
2000,CZE,Czechia,CHE,Switzerland,108.4176121,0.03563878247662228,5
2000,CZE,Czechia,OTH,Others,296.39526380300003,0.09743035406492037,6
2000,DEU,Germany,GBR,United Kingdom,172123.8677,0.8590372753227028,1
2000,DEU,Germany,NLD,Netherlands,7412.935323,0.03699654119504392,2
2000,DEU,Germany,ESP,Spain,5006.449235,0.0249862297852364,3
2000,DEU,Germany,USA,United States,3811.0,0.019019971489141828,4
2000,DEU,Germany,FIN,Finland,3721.393956,0.018572764876143982,5
2000,DEU,Germany,OTH,Others,8292.68778564,0.041387217331731174,6
2000,DJI,Djibouti,KOR,"Korea, Rep.",0.175,1.0,1
2000,DMA,Dominica,DEU,Germany,0.101345126,1.0,1
2000,DNK,Denmark,SWE,Sweden,5111.902111,0.46200563259219257,1
2000,DNK,Denmark,NOR,Norway,2334.7391,0.21101002941979577,2
2000,DNK,Denmark,USA,United States,1621.0,0.1465034177435453,3
2000,DNK,Denmark,FRA,France,573.9819421,0.051875580654366274,4
2000,DNK,Denmark,ESP,Spain,558.3195135,0.05046003511453638,5
2000,DNK,Denmark,OTH,Others,864.6456206,0.07814530447556371,6
2000,DOM,Dominican Republic,USA,United States,175.0,0.6427442663495093,1
2000,DOM,Dominican Republic,CHL,Chile,86.4,0.31733202635770064,2
2000,DOM,Dominican Republic,DEU,Germany,9.58724894,0.03521228163571664,3
2000,DOM,Dominican Republic,COL,Colombia,1.031729,0.003789359423865788,4
2000,DOM,Dominican Republic,KOR,"Korea, Rep.",0.251051,0.0009220662332074897,5
2000,DZA,Algeria,USA,United States,409.0,0.8677594839880042,1
2000,DZA,Algeria,FRA,France,54.35784043,0.11532892802503442,2
2000,DZA,Algeria,KOR,"Korea, Rep.",3.639474,0.00772173124750063,3
2000,DZA,Algeria,DEU,Germany,2.982310669,0.006327453220595011,4
2000,DZA,Algeria,JPN,Japan,1.2063286,0.0025594207419461406,5
2000,DZA,Algeria,OTH,Others,0.142804496,0.00030298277691962594,6
2000,ECU,Ecuador,COL,Colombia,66.53825,0.6138516153256087,1
2000,ECU,Ecuador,DEU,Germany,24.55776672,0.22655878039866506,2
2000,ECU,Ecuador,CHE,Switzerland,13.85566424,0.1278260530617092,3
2000,ECU,Ecuador,ISR,Israel,3.443,0.03176355121401706,4
2000,EGY,"Egypt, Arab Rep.",PRT,Portugal,464.3670536,0.45160249279758213,1
2000,EGY,"Egypt, Arab Rep.",NLD,Netherlands,316.0125299,0.3073259507791025,2
2000,EGY,"Egypt, Arab Rep.",DEU,Germany,95.93237516,0.09329537792654644,3
2000,EGY,"Egypt, Arab Rep.",FRA,France,69.0989497,0.06719955193267127,4
2000,EGY,"Egypt, Arab Rep.",SWE,Sweden,33.6570533,0.03273188537530021,5
2000,EGY,"Egypt, Arab Rep.",OTH,Others,49.19707453,0.04784474118879745,6
2000,ESP,Spain,GBR,United Kingdom,2381.489142,0.2010126735996527,1
2000,ESP,Spain,USA,United States,2249.0,0.1898297560768887,2
2000,ESP,Spain,DEU,Germany,2068.084577,0.17455935562395977,3
2000,ESP,Spain,PRT,Portugal,1627.050857,0.13733333361894295,4
2000,ESP,Spain,NLD,Netherlands,1355.260733,0.1143925364010562,5
2000,ESP,Spain,OTH,Others,2166.572362963,0.18287234467949964,6
