region_shortdestination,regiondestination,emde_destination,2016-2020,2021-2025,growth_rate,capex_total,share,n_projects,avg_size,top3_economysource,emde_label,group,hover_group
EAP,East Asia & Pacific,0.0,63699.799958999,156724.24717265504,146.0356975587555,220.42404713165405,12.740560037723226,2478,88.9523999724189,"United States, Singapore, China",AE,EAP-AE,East Asia & Pacific (AE)
EAP,East Asia & Pacific,1.0,43122.16355296891,145199.22494935963,236.7160016704747,188.32138850232855,10.885019070393259,1594,118.14390746695642,"United States, Singapore, China",EMDE,EAP-EMDE,East Asia & Pacific (EMDE)
ECA,Europe & Central Asia,0.0,159460.3539445561,416164.32671313477,160.982944298389,575.6246806576909,33.271237410563806,8094,71.1174549861244,"United States, United Arab Emirates, United Kingdom",AE,ECA-AE,Europe & Central Asia (AE)
ECA,Europe & Central Asia,1.0,13499.814089297111,26562.089877286548,96.7589309125778,40.061903966583664,2.3155871573617595,1101,36.38683375711504,"United States, France, Germany",EMDE,ECA-EMDE,Europe & Central Asia (EMDE)
LAC,Latin America & Caribbean,1.0,25534.84918924241,79408.73598986439,210.98180921827625,104.9435851791068,6.06576308232717,1498,70.05579784987103,"United States, China, Argentina",EMDE,LAC-EMDE,Latin America & Caribbean (EMDE)
MENAAP,"Middle East, North Africa, Afghanistan & Pakistan",1.0,18492.13568173158,56697.22039929003,206.60179751601834,75.18935608102161,4.3459618758194845,1904,39.49020802574665,"United States, China, United Arab Emirates",EMDE,MENAAP-EMDE,"Middle East, North Africa, Afghanistan & Pakistan (EMDE)"
NAR,North America,0.0,62554.595198800576,282853.5794704586,352.17074552483405,345.40817466925915,19.964671024598587,3184,108.48246691873717,"Taiwan, China, Korea, Rep., United States",AE,NAR-AE,North America (AE)
SAR,South Asia,1.0,35602.224763367165,105193.3022976613,195.4683393996763,140.79552706102845,8.138013474058553,1623,86.75017070919807,"United States, Taiwan, China, Singapore",EMDE,SAR-EMDE,South Asia (EMDE)
SSA,Sub-Saharan Africa,1.0,9047.586765308808,21245.780020192266,134.82261702816746,30.29336678550107,1.750963487413538,557,54.386654911132986,"United States, Mauritius, India",EMDE,SSA-EMDE,Sub-Saharan Africa (EMDE)
